Timepoint 0
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;7.69555065524;1304;(135.00536809815952, 282.08205521472394, 2.1740797546012272);(15.264538373714252, 31.893934419190227, 1.0036269303842369);75.2308282209
1;4.6916892415;795;(258.34591194968556, 105.5433962264151, 1.9471698113207547);(29.210179878039526, 11.933386386672163, 0.89887781556162416);63.7433962264
2;3.93629776614;667;(118.42278860569715, 64.335832083958024, 1.8200899550224887);(13.389609809289935, 7.2742054000132894, 0.84021356195254149);63.6671664168
3;3.90088879073;661;(276.43116490166415, 135.29046898638427, 2.9531013615733737);(31.255009958300384, 15.29677363598562, 1.3632490014944381);73.3555219365
4;3.32254219241;563;(212.39964476021314, 53.756660746003554, 3.5825932504440496);(24.015211940670589, 6.0780591346818928, 1.6538432222409225);234.261101243
5;3.00386141374;509;(121.41846758349705, 49.559921414538309, 2.043222003929273);(13.728319723985386, 5.6035499394397483, 0.94321867611208943);88.6974459725
6;2.99795991784;508;(55.55708661417323, 226.14566929133858, 2.5944881889763778);(6.2816263716062926, 25.569422131696633, 1.197701331567816);66.3996062992
7;2.97435393423;504;(239.58134920634922, 266.68650793650795, 1.8591269841269842);(27.088542849107704, 30.153219027474897, 0.85823434228893303);62.4107142857
8;2.8032105531;475;(236.7536842105263, 101.15578947368421, 1.3136842105263158);(26.768829629961004, 11.437296545287987, 0.60643996565185709);63.4084210526
9;2.74419559408;465;(191.31397849462365, 27.974193548387095, 2.5741935483870968);(21.631136652550172, 3.1629346070342352, 1.188332656019109);9.9096774194
10;2.73829409818;464;(192.11206896551724, 259.04956896551727, 1.8232758620689655);(21.721373676383127, 29.289739673856584, 0.84168428173767262);56.3017241379
11;2.71468811458;460;(226.53913043478261, 234.86739130434782, 2.9413043478260867);(25.613909271780575, 26.555553736890655, 1.3578031108044426);80.6934782609
12;2.63206717196;446;(248.72197309417041, 96.988789237668158, 3.0381165919282513);(28.122038080155761, 10.966149835331269, 1.4024948361959459);71.9304932735
Timepoint 1
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;12.3872398967;2099;(290.67841829442591, 152.09433063363505, 2.893758932825155);(32.865892171337414, 17.196721723639044, 1.3358545788749034);73.6884230586
1;7.15851452822;1213;(121.44435284418796, 56.624072547403131, 2.7840065952184667);(13.731246470978459, 6.4022663724554381, 1.2851892794710649);76.438582028
2;5.85428393405;992;(67.551411290322577, 238.79334677419354, 1.8931451612903225);(7.6377785888481302, 26.999446441063579, 0.87393825501405331);78.9112903226
3;5.83067795044;988;(206.04858299595142, 70.850202429149803, 3.2479757085020244);(23.297121783367253, 8.0107602312438981, 1.4993727269606829);74.3127530364
4;5.6654360652;960;(126.99583333333334, 271.07395833333334, 2.4489583333333331);(14.358931044942009, 30.649291190297451, 1.1305199496570679);71.9135416667
5;4.65037877019;788;(270.45558375634516, 99.32106598984771, 3.0342639593908629);(30.57937395224435, 11.22985140870783, 1.4007163339311535);23553.51142132
6;4.49693987676;762;(221.05511811023621, 62.035433070866141, 3.5170603674540684);(24.993853064022257, 7.0141081201431703, 1.6235910817408938);87.4409448819
7;4.31989499972;732;(210.76502732240436, 44.049180327868854, 4.0396174863387975);(23.830392026045914, 4.9804716132215745, 1.8648206852394587);95.1871584699
Timepoint 2
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;13.986545286;2370;(126.57383966244726, 54.049367088607596, 3.0312236286919831);(14.31121784158241, 6.1111543164650373, 1.3993128169901528);76.3776371308
1;9.01748573712;1528;(261.57918848167537, 139.14267015706807, 2.582460732984293);(29.575754035501944, 15.732327224865257, 1.1921490611360985);90.6616492147
2;5.96641235617;1011;(93.69238377843719, 42.798219584569736, 1.7398615232443126);(10.593437932563322, 4.8390302873017363, 0.8031774713746036);230.038575668
3;5.24052836031;888;(37.918918918918919, 104.23310810810811, 2.9211711711711712);(4.2873465039312606, 11.785237142354882, 1.3485089723339969);230.052927928
4;4.91594608575;833;(217.921968787515, 63.021608643457384, 2.53781512605042);(24.639599905492432, 7.1256112039323538, 1.1715391762653373);88.5474189676
5;4.62087129068;11783;(62.803320561941248, 235.30268199233717, 1.7828863346104726);(7.1009302090669877, 26.604770382896188, 0.82303914354665331);92.9259259259
6;4.2490770489;720;(91.013888888888886, 257.14722222222224, 1.8694444444444445);(10.290590804324834, 29.074648635091194, 0.86299722231017362);79.8013888889
7;4.13104713088;7030;(264.98000000000002, 98.988571428571433, 3.5028571428571427);(29.960270730315827, 11.192257525878203, 1.617034404749812);233.634285714
8;3.51139006125;595;(206.83697478991596, 57.682352941176468, 4.9563025210084035);(23.386262215055442, 6.5219220713988841, 2.2879927356334306);239.031932773
9;3.34024668011;566;(274.73144876325091, 125.18374558303887, 2.5265017667844525);(31.062829583662495, 14.154045243802635, 1.1663165564380717);67.24204947
10;3.2694287293;54;(50.635379061371843, 109.18050541516246, 1.8736462093862816);(5.7251478044035986, 12.344620351388709, 0.86493689560957643);71.0938628159
11;3.23401975389;548;(30.624087591240876, 122.40693430656934, 1.7609489051094891);(3.4625479474016232, 13.840081859358447, 0.81291210244616197);79.4069343066
12;3.06287637275;519;(149.6281310211946, 23.714836223506744, 1.1425818882466281);(16.917878006891684, 2.6813454358116182, 0.52745348959101213);233.350674374
13;2.79140756129;473;(170.09090909090909, 279.79281183932346, 2.8202959830866807);(19.231525719409667, 31.635098464421638, 1.3019416579772429);225.589852008
14;2.76190008179;468;(54.591880341880341, 230.06410256410257, 3.0149572649572649);(6.1724942060523116, 26.012464329940599, 1.3918037269169676);74.8418803419
Timepoint 3
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;6.40312305286;1085;(195.51244239631336, 253.59170506912443, 1.6506912442396313);(22.10584083832299, 28.672639968425436, 0.76201352915511067);65.266359447
1;6.39132006106;1083;(175.61865189289011, 260.40535549399817, 2.2123730378578026);(19.856526364269303, 29.443033248638844, 1.0213043731035267);72.1708217913
2;5.87788991765;996;(146.85240963855421, 27.091365461847388, 1.4046184738955823);(16.604037852556136, 3.0631166265034167, 0.64841822124201987);232.735943775
3;5.79526897503;982;(93.063136456211808, 46.708757637474541, 1.924643584521385);(10.522291354971809, 5.2811798033641946, 0.88847896620573319);230.342158859
